R***r,UY,100,"é muito lindoooooo!!!!gostei demais, funciona muito bem, sem contar que ele é maravilhoso, mas o pacote veio amassado mas não danificou nada, tbm veio o carregador muito bom",,"It is very beautiful Ooooo!!!! I liked it too much, it works very well, not to mention that it is wonderful, but the package came wrinkled but did not damage anything, TBM came the charger very good",0,0,19 Apr 2024,60081343507940739,Fast,Above Expectation,Fast,1
AliExpress Shopper,PK,100,yes I received your item thanks for you and your team,,yes I received your item thanks for you and your team,0,0,19 Apr 2024,50125582458816977,Fast,Poor,,1
C***a,CO,100,"Aunque el empaque llegó bastante destruido el reloj está en perfectas condiciones, muy bueno para el precio, cumple con lo descrito en el anuncio. lo recomiendo 100 por ciento",,"Although the packaging arrived quite destroyed the watch is in perfect condition, very good for the price, it complies with what was described in the announcement. I recommend it 100 percent",0,0,19 Apr 2024,60080994591642815,Fits ok ,Meet the Requirement,Fits ok ,1
L***a,DO,100,"vino completo aún no lo he probado, espero funcione",,"Full wine I haven't tasted yet, I hope it works",0,0,19 Apr 2024,60081313536109276,Fits ok ,Meet the Requirement,,1
f***r,US,100,Me encantó. Justo como dice en los detalles del producto. Estoy muy feliz. A mí niño le gustó.,,I loved it. Just as it says in the product details. I am very happy. My child liked it.,1,0,16 Apr 2024,60080886904061002,,,,1
J***a,AO,80,"Recebi o produto, estou usar apesar de certas vezes desconectar sempre de forma brusca. Mas dá pra dizer que é bom. estou alegre.",,"I received the product, I am using it despite certain times always unplugged sharply. But I can tell you it's good. I'm cheerful.",0,0,19 Apr 2024,30072050920203942,Fits ok ,Meet the Requirement,Fits ok ,1
m***r,UK,100,Great quality watch and came with charger exactly what I neededed,,Great quality watch and came with charger exactly what I neededed,0,0,16 Apr 2024,30071436351568107,Meet the Requirement,,,1
V***i,LK,100,Thank you. The order arrived quickly. The watch is very good,,Thank you. The order arrived quickly. The watch is very good,0,3,31 Mar 2024,50122151259452076,Fast,Fast,,1
AliExpress Shopper,CO,100,excelente producto la caja llego un poco maltratada pero el reloj llegó intacto la calidad del reloj 100 de 10 muy recomendable la entrega demoro un poco pero del resto excelente,,Excellent product the box arrived a little battered but the watch arrived intact the quality of the watch 100 10 highly recommended delivery a little but the rest excellent,0,0,16 Apr 2024,60081138296079742,Fast,Fast,,1
AliExpress Shopper,PK,100,very good condition same wesi hai jasi order ke tii thank you AliExpress,,Very good condition same Wesi Hai Jasi Order to TII Thank you AliExpress,0,2,26 Mar 2024,50120369159901055,,,,1
C***e,NG,80,"I like the watch, so far so good, it’s been alright. It charges fast but it only last for about 2 hours after charging. Otherwise, it’s a good purchase and I like it",,"I like the watch, so far so good, it’s been alright. It charges fast but it only last for about 2 hours after charging. Otherwise, it’s a good purchase and I like it",0,0,19 Apr 2024,30071419005465802,Fits ok ,Meet the Requirement,Fits ok ,1
J***z,MX,100,"el reloj venía fuera de la caja,la caja muy destruida,por lo pronto el reloj prende y es bonito,pero el vendedor deberia cuidar el producto cuando lo envía y protejerlo",,"The watch came out of the box, the box is very destroyed, so soon the watch is on and it is nice, but the seller should take care of the product when it is sent and protect it",0,1,13 Apr 2024,60081079031028294,Fits ok ,Meet the Requirement,Fits ok ,1
o***r,PL,100,"Порядний продавець,і дууууже крутий годинник,працює ідеально,доставка швидка,є Українська мова,приймає дзвінки,повідомлення,тиск вимірює точно(порівнювали з тонометром),дякую велике продавцю,брала на пробу,і мега задоволена,замовлю ще донечці і мамі.Купили такий схожий за 130 зл,в іншого продавця,то відправили назад бо не заряжався і глючив,а цей не лажає.Процвітання продавцю і шалених продаж!Дякую",,"An order of sale, and a duuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu and Mega is spoiled, the deputy is more Donetsk and mother. bought such a similar for 130 evil, to the seller, then they did it back for not being charged and buggy, but not being lazhah. The seller and shalenich sales! Daughter",0,1,06 Apr 2024,30070962771937023,,,,1
I***r,PK,80,I received my order at the time.good condition. I recommended it,,I received my order at the time.good condition. I recommended it,0,0,16 Apr 2024,50124528540091422,Fast,Fits ok ,,1
s***n,PK,100,thanks for you is very good product good delivery and fast I am very happy 😊,,thanks for you is very good product good delivery and fast I am very happy 😊,0,0,06 Apr 2024,50122381178980871,Fast,Fast,,1
M***a,UA,100,"Упаковка помята, но часы целые. Выглядят хорошо, корпус металлический. Пока на зарядке, позже дополню отзыв, как работают",,"The packaging is dented, but the watch is intact. Look good, the case is metal. While on charge, I will update later on how they work",0,3,11 Apr 2024,30071205134465032,Fast,,,1
AliExpress Shopper,CA,100,I've never expected the quality is good as the price is very low. gonna by again for gifts for my family,,I've never expected the quality is good as the price is very low. gonna by again for gifts for my family,0,0,08 Apr 2024,60080897426988150,Fast,Fast,,1
a***r,NG,80,Box came rough buh my package is safe🙌it came safe,,Box came rough buh my package is safe🙌it came safe,0,0,19 Apr 2024,30071606772785596,Fits ok ,Fast,,1
AliExpress Shopper,BR,100,"lindo!! valeu super a pena, ja baixei o aplicativo e coloquei tudo do jeito que eu queria, a embalagem veio amassada mas não interferiu no produto, veio sem arranhão nenhum, mas demorou um cadinho pra chegar",,"Beautiful!! It was super worth it, I already downloaded the app and put everything the way I wanted it, the packaging came dashed but it didn't interfere with the product, it came with no scratch, but it took a crucible to arrive",0,0,18 Apr 2024,60081294713583747,,,,1
A***r,UK,100,"Great delivery arrival, very good value which I'm extremely pleased about. easy to use highly recommended",,"Great delivery arrival, very good value which I'm extremely pleased about. easy to use highly recommended",0,1,07 Apr 2024,30070825463380775,Fast,Meet the Requirement,,1
